budget_fiscal_year,fundtype,appr,appropriation,service,objectgroup,expenditure_classification,current_budget,encumbrance,expenses,encumb_expense,ftyp,service_number
2017,General Fund,0001ECO,Economic Development GF,Economic Development Major Projects & Other Programs,QM,Supplies & Materials,9462,0,65.23,65.23,GNFD,2.13
2017,General Fund,0001DFD,Dallas Fire Rescue GF,Special Operations,PS,Personnel Services,6295389,0,2585272.12,2585272.12,GNFD,1.33
2016,General Fund,0001SEC,City Secretary's Office GF,City Council Support,QV,Contractual & Other Services,157381,0,296636.10,296636.10,GNFD,5.16
2016,General Fund,0001ADM,Mgmt Services - Admin,311 Customer Service Center,RE,Reimbursements,-286825,0,-282979,-282979,GNFD,5.01
2017,Enterprise Operating Fund,0061SDM,Storm Drainage Mgmt Operations,Flood Control,PS,Personnel Services,9222569,0,3058992.70,3058992.70,EFOP,2.19
2017,Internal Service Fund,0198DSV,Information Technology DSV,Public Safety Technology Support,QM,Supplies & Materials,94840,0,1750.45,1750.45,INSV,5.O
2017,General Fund,0001EMS,Mgmt Services - EMS Compliance,EMS Compliance Program,QM,Supplies & Materials,2200,0,394.16,394.16,GNFD,5.28
2017,General Fund,0001AUD,City Auditor's Office GF,"Audits, Attestations and Investigations",QM,Supplies & Materials,27720,0,2066.58,2066.58,GNFD,5.08
2017,General Fund,0001ATT,City Attorney's Office GF,Police Legal Liaison,PS,Personnel Services,592108,0,284621.89,284621.89,GNFD,1.28
2017,General Fund,0001DFD,Dallas Fire Rescue GF,Fire Investigation & Explosive Ordnance Disposal,PS,Personnel Services,4237597,0,1749527.55,1749527.55,GNFD,1.1100000000000001
2017,General Fund,0001STS,Street Services GF,Street Forestry Division,PS,Personnel Services,231168,0,3631.43,3631.43,GNFD,2.57
2016,General Fund,0001OCA,Office of Cultural Affairs GF,Public Art for Dallas,QV,Contractual & Other Services,188542,0,133549.36,133549.36,GNFD,4.1100000000000003
2017,General Fund,0001EBS,Building Services GF,Custodial Maintenance,PS,Personnel Services,2034733,0,863110.25,863110.25,GNFD,3.11
2017,Internal Service Fund,0198DSV,Information Technology DSV,Business Technology Services,PS,Personnel Services,5762585,0,2332845.92,2332845.92,INSV,5.C
2016,General Fund,0001DPD,Police Department GF,Police Academy and In-service Training,RE,Reimbursements,0,0,-50834.55,-50834.55,GNFD,1.2
2017,Enterprise Operating Fund,0080CCT,Convention Center CCT,Dallas Convention Center,RE,Reimbursements,0,0,-72546.64,-72546.64,EFOP,2.1
2017,General Fund,0001EBS,Building Services GF,Energy Procurement and Monitoring,QV,Contractual & Other Services,78451,0,30023.24,30023.24,GNFD,5.29
2017,Internal Service Fund,026APER,City Emp Basic Life Insurance Fund,HR Benefits Administration Services,QV,Contractual & Other Services,0,0,223873.50,223873.50,INSV,5.J
2017,General Fund,0001ELE,Elections,Elections,QM,Supplies & Materials,5007,0,2517.02,2517.02,GNFD,5.27
2017,General Fund,0001DPD,Police Department GF,Police Community Outreach,PS,Personnel Services,1720058,0,807380.73,807380.73,GNFD,1.22
2017,General Fund,0001CTS,Court and Detention Services GF,City Detention Center,PS,Personnel Services,1449415,0,808863.25,808863.25,GNFD,1.02
2017,General Fund,0001STS,Street Services GF,Rights-of-Way Maintenance Contracts and Inspections Group,PS,Personnel Services,1630761,0,757945.61,757945.61,GNFD,2.38
2017,General Fund,0001CTS,Court and Detention Services GF,Municipal Court Services,PS,Personnel Services,5305682,0,2251138.22,2251138.22,GNFD,1.17
2016,General Fund,0001OCA,Office of Cultural Affairs GF,City-Owned Cultural Venues,QV,Contractual & Other Services,5549204,0,5352455.68,5352455.68,GNFD,4.0199999999999996
2017,General Fund,0001PNV,Planning and Urban Design GF,Planning and Design Studio,PS,Personnel Services,1230782,0,383229.88,383229.88,GNFD,2.3199999999999998
2017,Enterprise Operating Fund,0164AVI,Transportation Regulation,Regulation and Enforcement of For Hire Transportation,PS,Personnel Services,846634,0,177714.11,177714.11,EFOP,2.36
2017,General Fund,0001CTS,Court and Detention Services GF,Illegal Dump Team - Criminal Investigations and Arrests,PS,Personnel Services,837090,0,362225.06,362225.06,GNFD,3.15
2017,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,Recycling Collection and Waste Diversion,PS,Personnel Services,4110542,0,1913890.67,1913890.67,EFOP,3.19
2017,General Fund,0001OEQ,Mgmt Services - Environmental Quaity,Environmental Quality,PS,Personnel Services,2593594,0,1256173.10,1256173.10,GNFD,3.14
2017,General Fund,0001EBS,Building Services GF,"City Facility Operation, Maintenance and Repair",PS,Personnel Services,8651277,0,4445702.11,4445702.11,GNFD,5.17
2016,General Fund,0001DPD,Police Department GF,Police Recruiting and Personnel Service,QV,Contractual & Other Services,2735126,0,2700100.94,2700100.94,GNFD,1.3
2017,General Fund,0001PIO,Mgmt Services - Public Information Office,Public Information Office / Communications & Broadcasting,RE,Reimbursements,-322573,0,-3342.94,-3342.94,GNFD,5.48
2017,General Fund,0001SEC,City Secretary's Office GF,Archives,QV,Contractual & Other Services,14367,0,1065.18,1065.18,GNFD,5.07
2017,Enterprise Operating Fund,0140OCA,Municipal Radio OCA,WRR Municipal Radio Classical Music,PS,Personnel Services,1211811,0,466949.50,466949.50,EFOP,4.13
2017,General Fund,0001CCS,Code Compliance GF,Neighborhood Nuisance Abatement,RE,Reimbursements,-893597,0,-113446.38,-113446.38,GNFD,3.18
2017,General Fund,0001FHO,Mgmt Services - Fair Housing,Fair Housing and Human Rights Compliance,QV,Contractual & Other Services,239117,0,9262.64,9262.64,GNFD,5.31
2017,Enterprise Operating Fund,0130AVI,Airport Operations AVI,Dallas Love Field,RE,Reimbursements,-6131526,0,-1401206.50,-1401206.50,EFOP,2.12
2016,General Fund,0001ATT,City Attorney's Office GF,Department Support,QV,Contractual & Other Services,0,0,190060.77,190060.77,GNFD,9.99
2017,General Fund,0001DPD,Police Department GF,Police Operational Support,PS,Personnel Services,31327476,0,14961511.60,14961511.60,GNFD,1.29
2017,General Fund,0001CCO,City Controller's Office GF,Deferred Compensation,RE,Reimbursements,-116800,0,-61681.92,-61681.92,GNFD,5.24
2016,General Fund,0001DFD,Dallas Fire Rescue GF,Fire Dispatch and Communications,QV,Contractual & Other Services,7801695,0,7533165.42,7533165.42,GNFD,1.1000000000000001
2017,Internal Service Fund,0196EBS,Equipment Services EBS,Fuel Procurement and Management,PS,Personnel Services,795531,0,367766.28,367766.28,INSV,5.I
2017,General Fund,0001LIB,Library GF,Library Operations & Public Service,PS,Personnel Services,18176908,0,8403610.50,8403610.50,GNFD,4.07
2017,General Fund,0001DFD,Dallas Fire Rescue GF,Inspection and Life Safety Education,PS,Personnel Services,9054467,0,3695078.31,3695078.31,GNFD,1.1399999999999999
2017,General Fund,0001CSC,Mgmt Services - 311 Customer Service Center,311 Customer Service Center,PS,Personnel Services,5760532,0,2824921.58,2824921.58,GNFD,5.01
2017,General Fund,0001EBS,Building Services GF,Department Support,RE,Reimbursements,-763906,0,-392464.93,-392464.93,GNFD,9.99
2017,General Fund,0001EBS,Building Services GF,Capital Facilities,RE,Reimbursements,-954840,0,-134999.10,-134999.10,GNFD,2.0699999999999998
2016,General Fund,0001HOU,Housing GF,Housing Management/Contract Support,QV,Contractual & Other Services,92810,0,254730.69,254730.69,GNFD,5.37
2016,General Fund,0001ATT,City Attorney's Office GF,Litigation,QV,Contractual & Other Services,702729,0,1125772.91,1125772.91,GNFD,5.45
2017,General Fund,0001ECO,Economic Development GF,Business Development,PS,Personnel Services,763301,0,251817.64,251817.64,GNFD,2.04
2017,Internal Service Fund,0197DSV,Radio Services DSV,Internal Radio Communication,PS,Personnel Services,2333488,0,1077493.95,1077493.95,INSV,5.M
2017,General Fund,0001BMS,Office of Financial Services GF,Department Support,PS,Personnel Services,314945,0,126439.02,126439.02,GNFD,9.99
2017,General Fund,0001CCS,Code Compliance GF,Neighborhood Code Compliance Services,PS,Personnel Services,15785659,0,7557369.20,7557369.20,GNFD,3.17
2017,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,Field Inspections of Private Development Construction Sites,PS,Personnel Services,6719118,0,2765535.18,2765535.18,EFOP,2.17
2017,Enterprise Operating Fund,0100DWU,Water Utilities DWU,Water Production and Delivery,RE,Reimbursements,-1434530,0,-12204.72,-12204.72,EFOP,2.5299999999999998
2017,Enterprise Operating Fund,0130AVI,Airport Operations AVI,Aviation Facilities - Dallas Executive Airport & Vertiport,PS,Personnel Services,1087659,0,251185.03,251185.03,EFOP,2.21
2017,General Fund,0001PIO,Mgmt Services - Public Information Office,Public Information Office / Communications & Broadcasting,PS,Personnel Services,1406998,0,611082.49,611082.49,GNFD,5.48
2017,General Fund,0001CPE,Mgmt Services - Strategic Initiatives,Center for Performance Excellence,PS,Personnel Services,1191439,0,518770.56,518770.56,GNFD,5.13
2017,General Fund,0001POM,Business Development & Procurement GF,Purchasing/Contract Management,PS,Personnel Services,2062327,0,993014.43,993014.43,GNFD,5.49
2017,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,Zoning & Board of Adjustment,PS,Personnel Services,1538789,0,671815.96,671815.96,EFOP,2.5499999999999998
2017,Enterprise Operating Fund,0100DWU,Water Utilities DWU,Wastewater Collection,PS,Personnel Services,13786084,0,5897160.77,5897160.77,EFOP,3.24
2017,General Fund,0001DFD,Dallas Fire Rescue GF,Fire-Rescue Equipment Maintenance and Supply,RE,Reimbursements,-133017,0,-32223.59,-32223.59,GNFD,1.1299999999999999
2017,General Fund,0001STS,Street Services GF,Street Repair Division - Concrete,PS,Personnel Services,8561642,0,3847080.08,3847080.08,GNFD,2.44
2017,General Fund,0001AUD,City Auditor's Office GF,"Audits, Attestations and Investigations",PS,Personnel Services,2949953,0,1283348.46,1283348.46,GNFD,5.08
2017,General Fund,0001EBS,Building Services GF,Energy Procurement and Monitoring,PS,Personnel Services,153106,0,78463.06,78463.06,GNFD,5.29
2017,General Fund,0001CCO,City Controller's Office GF,Accounts Payable,PS,Personnel Services,868177,0,362689.07,362689.07,GNFD,5.0199999999999996
2017,General Fund,0001EBS,Building Services GF,Security Service for City Facilities,PS,Personnel Services,3769864,0,1620518.53,1620518.53,GNFD,1.32
2016,General Fund,0001PKR,Park and Recreation GF,Aquatic Services,RC,Capital Outlay,0,0,7195,7195,GNFD,4.01
2017,General Fund,0001STS,Street Services GF,Interagency and Transportation Administration,QM,Supplies & Materials,10271,0,728.74,728.74,GNFD,2.2599999999999998
2017,General Fund,0001SEC,City Secretary's Office GF,Boards and Commissions Support,QV,Contractual & Other Services,69504,0,7079.63,7079.63,GNFD,5.0999999999999996
2016,General Fund,0001CTJ,Judiciary GF,Community Court,RE,Reimbursements,-49957,0,-46862.10,-46862.10,GNFD,1.04
2017,General Fund,0001EMS,Mgmt Services - EMS Compliance,EMS Compliance Program,PS,Personnel Services,397280,0,140725.54,140725.54,GNFD,5.28
2017,Internal Service Fund,0196EBS,Equipment Services EBS,Environmental Services for City Fleet Operations,PS,Personnel Services,443745,0,161654.17,161654.17,INSV,5.H
2016,General Fund,0001DPD,Police Department GF,Police Operational Support,RE,Reimbursements,-9339000,0,-8831411.30,-8831411.30,GNFD,1.29
2017,General Fund,0001HOU,Housing GF,Comprehensive Homeless Outreach,PS,Personnel Services,2217744,0,752077.99,752077.99,GNFD,3.09
2017,General Fund,0001ATT,City Attorney's Office GF,Department Support,PS,Personnel Services,1269981,0,849995.75,849995.75,GNFD,9.99
2017,Enterprise Operating Fund,0080CCT,Convention Center CCT,Dallas Convention Center,PS,Personnel Services,8275617,0,3667011.09,3667011.09,EFOP,2.1
2017,Internal Service Fund,0198DSV,Information Technology DSV,City GIS Services,QM,Supplies & Materials,25975,0,7872.20,7872.20,INSV,5.18
2016,General Fund,0001DFD,Dallas Fire Rescue GF,Inspection and Life Safety Education,QV,Contractual & Other Services,207354,0,270261.70,270261.70,GNFD,1.1399999999999999
2017,General Fund,0001HOU,Housing GF,Comprehensive Homeless Outreach,RE,Reimbursements,-244887,0,-179560.31,-179560.31,GNFD,3.09
2017,Internal Service Fund,0198DSV,Information Technology DSV,Internal Computer Support,PS,Personnel Services,3198345,0,1380575.90,1380575.90,INSV,5.K
2017,General Fund,0001DPD,Police Department GF,Police Operational Support,RE,Reimbursements,-8025000,0,4830.60,4830.60,GNFD,1.29
2017,General Fund,0001DPD,Police Department GF,Police Investigations of Narcotics Related Crimes,PS,Personnel Services,13603253,0,6139059.49,6139059.49,GNFD,1.27
2017,General Fund,0001BMS,Office of Financial Services GF,Utility Management,PS,Personnel Services,136103,0,65773.96,65773.96,GNFD,5.52
2016,General Fund,0001CTJ,Judiciary GF,Municipal Judges/Cases Docketed,QV,Contractual & Other Services,205479,0,189284.38,189284.38,GNFD,1.18
2016,General Fund,0001BMS,Office of Financial Services GF,Non-Departmental,QV,Contractual & Other Services,0,0,0,0,GNFD,5.46
2017,General Fund,0001OCA,Office of Cultural Affairs GF,City-Owned Cultural Venues,PS,Personnel Services,3144315,0,1454455.51,1454455.51,GNFD,4.0199999999999996
2017,General Fund,0001DPD,Police Department GF,Police Community Outreach,QM,Supplies & Materials,12769,0,12142.54,12142.54,GNFD,1.22
2017,Internal Service Fund,0198DSV,Information Technology DSV,Internal Telephone and Data Communication,PS,Personnel Services,484393,0,333536.69,333536.69,INSV,5.N
2016,General Fund,0001CCO,City Controller's Office GF,Payroll,QV,Contractual & Other Services,90735,0,50826.86,50826.86,GNFD,5.47
2017,General Fund,0001DEV,Sustainable Dev and Construction GF,Historic Preservation,QM,Supplies & Materials,10488,0,134.47,134.47,GNFD,2.23
2017,General Fund,0001SEC,City Secretary's Office GF,Records Management,PS,Personnel Services,273967,0,139657.72,139657.72,GNFD,5.5
2017,General Fund,0001HOU,Housing GF,Housing Management/Contract Support,PS,Personnel Services,877685,0,340713.08,340713.08,GNFD,5.37
2017,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,Department Support,QM,Supplies & Materials,2450,0,2601.12,2601.12,EFOP,9.99
2017,General Fund,0001CRO,Mgmt Services - Resiliency Office,Resiliency Office,QV,Contractual & Other Services,6778,0,2691.24,2691.24,GNFD,2.37
2017,General Fund,0001CVS,Civil Service GF,Fire Applicant - Physical Abilities Testing,PS,Personnel Services,92161,0,45240.15,45240.15,GNFD,5.33
2017,Enterprise Operating Fund,0130AVI,Airport Operations AVI,Capital Construction and Debt Service,TR,Transfers Out,19801260,0,7244720.63,7244720.63,EFOP,2.06
2016,General Fund,0001OFS,Non-Departmental,General Obligation Commercial Paper and Master Lease Program,QM,Supplies & Materials,0,0,2693.77,2693.77,GNFD,5.35
2017,General Fund,0001ATT,City Attorney's Office GF,DFW International Airport Legal Counsel,PS,Personnel Services,566591,0,282348.07,282348.07,GNFD,5.25
2017,General Fund,0001DPD,Police Department GF,Police Special Operations,RE,Reimbursements,-12232931,0,-205157.56,-205157.56,GNFD,1.31
2017,General Fund,0001CTJ,Judiciary GF,Municipal Judges/Cases Docketed,QM,Supplies & Materials,14975,0,967.58,967.58,GNFD,1.18
2017,General Fund,0001ATT,City Attorney's Office GF,Police Legal Liaison,QM,Supplies & Materials,1900,0,1772.74,1772.74,GNFD,1.28
2016,General Fund,0001BMS,Office of Financial Services GF,Citywide Capital and Operating Budget Dev and Monitoring,QM,Supplies & Materials,4371,0,388.98,388.98,GNFD,5.19
2017,General Fund,0001ATT,City Attorney's Office GF,Community Prosecution & Community Courts,PS,Personnel Services,1657897,0,777946.98,777946.98,GNFD,3.07
2017,General Fund,0001CTS,Court and Detention Services GF,Adjudication Office,PS,Personnel Services,431079,0,177668.06,177668.06,GNFD,1.01
2017,Enterprise Operating Fund,0100DWU,Water Utilities DWU,Water Capital Funding,TR,Transfers Out,266872977,0,104603221.01,104603221.01,EFOP,2.52
2017,General Fund,0001EAD,Mgmt Services - Ethics and Diversity,Ethics and Diversity,PS,Personnel Services,421764,0,115023.67,115023.67,GNFD,5.3
2017,General Fund,0001CVS,Civil Service GF,Civil Service Board Administration/Employee Appeals Process,QM,Supplies & Materials,5397,0,10788.60,10788.60,GNFD,5.2
2016,General Fund,0001ATT,City Attorney's Office GF,Community Prosecution & Community Courts,QV,Contractual & Other Services,241769,0,192080.77,192080.77,GNFD,3.07
2017,General Fund,0001DPD,Police Department GF,Police Criminal Investigations,PS,Personnel Services,56361041,0,26677190.35,26677190.35,GNFD,1.23
2017,General Fund,0001CMO,City Manager's Office GF,City Administration,PS,Personnel Services,2436946,0,1505172.47,1505172.47,GNFD,5.14
2017,Internal Service Fund,0198DSV,Information Technology DSV,Strategic Technology Management,PS,Personnel Services,7540887,0,2482048.22,2482048.22,INSV,5.Q
2016,General Fund,0001PKR,Park and Recreation GF,Park Land Maintained,QM,Supplies & Materials,5911083,0,5317359.72,5317359.72,GNFD,4.09
2017,General Fund,0001DFD,Dallas Fire Rescue GF,Fire Training and Recruitment,PS,Personnel Services,11358307,0,3188872.12,3188872.12,GNFD,1.1200000000000001
2017,General Fund,0001ECO,Economic Development GF,Department Support,PS,Personnel Services,916461,0,372703.29,372703.29,GNFD,9.99
2016,General Fund,0001EBS,Building Services GF,Department Support,RE,Reimbursements,-612741,0,-625180,-625180,GNFD,9.99
2016,General Fund,0001PBW,Public Works GF,Ambient Air Monitoring,PS,Personnel Services,829880,0,885164.73,885164.73,GNFD,3.02
2017,Other Operating Fund,0278PER,Employee Benefits Administration,HR Benefits Administration Services,PS,Personnel Services,618375,0,297387.37,297387.37,OTHO,5.J
2017,General Fund,0001CTS,Court and Detention Services GF,Adjudication Office,QM,Supplies & Materials,9550,0,3397.58,3397.58,GNFD,1.01
2017,General Fund,0001EBS,Building Services GF,Department Support,PS,Personnel Services,725578,0,408771.44,408771.44,GNFD,9.99
2017,Internal Service Fund,0198DSV,Information Technology DSV,Business Technology Services,RC,Capital Outlay,0,0,67000,67000,INSV,5.C
2017,General Fund,0001DFD,Dallas Fire Rescue GF,Fire and Rescue Emergency Response,PS,Personnel Services,176666599,0,79301172.62,79301172.62,GNFD,1.0900000000000001
2017,General Fund,0001PER,Human Resources GF,HRIS and HR Payroll Services,PS,Personnel Services,1208438,0,498416.75,498416.75,GNFD,5.38
2017,General Fund,0001CVS,Civil Service GF,Civil Service Board Administration/Employee Appeals Process,PS,Personnel Services,370352,0,122433.76,122433.76,GNFD,5.2
2017,Internal Service Fund,0196EBS,Equipment Services EBS,City Fleet Asset Management,PS,Personnel Services,1286645,0,443326.40,443326.40,INSV,5.D
2017,General Fund,0001DFD,Dallas Fire Rescue GF,Fire Investigation & Explosive Ordnance Disposal,RE,Reimbursements,0,0,-734.42,-734.42,GNFD,1.1100000000000001
2017,General Fund,0001PNV,Planning and Urban Design GF,Neighborhood Vitality,PS,Personnel Services,865379,0,354178.65,354178.65,GNFD,2.2799999999999998
2017,General Fund,0001PER,Human Resources GF,Human Resource Consulting,PS,Personnel Services,2068013,0,911339.11,911339.11,GNFD,5.39
2017,Enterprise Operating Fund,0100DWU,Water Utilities DWU,Water Utilities Capital Program Management,RE,Reimbursements,-250000,0,-242050,-242050,EFOP,2.54
2017,General Fund,0001CCS,Code Compliance GF,Neighborhood Nuisance Abatement,PS,Personnel Services,4337124,0,1693683.50,1693683.50,GNFD,3.18
2017,General Fund,0001ICT,Mgmt Services - Internal Control Task Force,Internal Control Task Force,QV,Contractual & Other Services,15780,0,5544.52,5544.52,GNFD,5.42
2017,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,Zoning & Board of Adjustment,QM,Supplies & Materials,33602,0,15669.07,15669.07,EFOP,2.5499999999999998
2017,General Fund,0001PKR,Park and Recreation GF,Park Land Maintained,RE,Reimbursements,-3553666,0,-1172639.44,-1172639.44,GNFD,4.09
2017,General Fund,0001CCO,City Controller's Office GF,Department Support,PS,Personnel Services,180068,0,149516,149516,GNFD,9.99
2017,General Fund,0001PKR,Park and Recreation GF,Aquatic Services,PS,Personnel Services,1826313,0,453282.87,453282.87,GNFD,4.01
2017,Internal Service Fund,0198DSV,Information Technology DSV,City GIS Services,PS,Personnel Services,856227,0,410632.38,410632.38,INSV,5.18
2017,General Fund,0001CTJ,Judiciary GF,Municipal Judges/Cases Docketed,PS,Personnel Services,1863626,0,988272.70,988272.70,GNFD,1.18
2016,Enterprise Operating Fund,0100DWU,Water Utilities DWU,Water Capital Funding,TR,Transfers Out,268152526,0,247560120.24,247560120.24,EFOP,2.52
2017,Internal Service Fund,0199POM,Express Business Center POM,Disposal of Surplus and Police Unclaimed Property,PS,Personnel Services,199813,0,57695.96,57695.96,INSV,5.G
2017,General Fund,0001DFD,Dallas Fire Rescue GF,Fire Inspection for New Construction,PS,Personnel Services,1546972,0,913315.28,913315.28,GNFD,2.1800000000000002
2017,Enterprise Operating Fund,0080CCT,Convention Center CCT,Office of Special Events,PS,Personnel Services,492467,0,107672.01,107672.01,EFOP,2.29
2017,General Fund,0001CCO,City Controller's Office GF,Cash and Debt Management,PS,Personnel Services,549057,0,220800.70,220800.70,GNFD,5.12
2016,General Fund,0001DFD,Dallas Fire Rescue GF,Fire-Rescue Equipment Maintenance and Supply,QV,Contractual & Other Services,1825525,0,1360028.78,1360028.78,GNFD,1.1299999999999999
2017,Internal Service Fund,0198DSV,Information Technology DSV,Internal Radio Communication,QV,Contractual & Other Services,0,0,0,0,INSV,5.M
2017,General Fund,0001ATT,City Attorney's Office GF,"Environ Enforcement, Compliance, and Support (Legal Service)",QM,Supplies & Materials,2251,0,1772.74,1772.74,GNFD,3.13
2017,Other Operating Fund,0286PER,Wellness Program Fund,Wellness Program,PS,Personnel Services,321020,0,72155.91,72155.91,OTHO,5.R
2017,General Fund,0001AGE,Mgmt Services - Council Agenda,City Agenda Process,QV,Contractual & Other Services,10317,0,5079.34,5079.34,GNFD,5.15
2017,General Fund,0001DPD,Police Department GF,Police Investigations of Narcotics Related Crimes,RE,Reimbursements,-276000,0,-181431.79,-181431.79,GNFD,1.27
2017,General Fund,0001EBS,Building Services GF,Capital Facilities,PS,Personnel Services,1789870,0,737851.10,737851.10,GNFD,2.0699999999999998
2017,General Fund,0001DPD,Police Department GF,Police Intelligence,PS,Personnel Services,7895834,0,3878897.41,3878897.41,GNFD,1.25
2017,General Fund,0001PKR,Park and Recreation GF,"Planning, Design, Construction & EMS and Environ Compliance",QM,Supplies & Materials,18897,0,8470.05,8470.05,GNFD,4.0999999999999996
2017,General Fund,0001CVS,Civil Service GF,Fire Applicant - Physical Abilities Testing,QM,Supplies & Materials,125,0,133.66,133.66,GNFD,5.33
2017,General Fund,0001TWM,Trinity Watershed Management GF,Trinity River Corridor Operations,PS,Personnel Services,919243,0,170344.27,170344.27,GNFD,2.4900000000000002
2017,General Fund,0001DEV,Sustainable Dev and Construction GF,Real Estate and Relocation,QM,Supplies & Materials,15782,0,13068.06,13068.06,GNFD,2.35
2017,General Fund,0001DPD,Police Department GF,Police Recruiting and Personnel Service,PS,Personnel Services,6749532,0,3383778.79,3383778.79,GNFD,1.3
2017,General Fund,0001ATT,City Attorney's Office GF,Code Litigation,QM,Supplies & Materials,2650,0,19656.59,19656.59,GNFD,3.06
2017,General Fund,0001SEC,City Secretary's Office GF,Archives,PS,Personnel Services,163789,0,79043.62,79043.62,GNFD,5.07
2017,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,Construction Plan Review and Permitting,PS,Personnel Services,7838250,0,3380242.83,3380242.83,EFOP,2.08
2017,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,Residential Refuse Collection,PS,Personnel Services,14615353,0,7174112.55,7174112.55,EFOP,3.2
2017,General Fund,0001OCA,Office of Cultural Affairs GF,City-Owned Cultural Venues,RE,Reimbursements,0,0,-1868,-1868,GNFD,4.0199999999999996
2017,Internal Service Fund,0196EBS,Equipment Services EBS,City Fleet Paint and Body Shop Coordination,PS,Personnel Services,116829,0,55658.59,55658.59,INSV,5.F
2017,Internal Service Fund,0198DSV,Information Technology DSV,NONE,RC,Capital Outlay,0,0,0,0,INSV,
2016,General Fund,0001STS,Street Services GF,Street Repair Division - Concrete,RC,Capital Outlay,0,0,83620.54,83620.54,GNFD,2.44
2016,General Fund,0001DPD,Police Department GF,Police Intelligence,RE,Reimbursements,-86500,0,-175572.40,-175572.40,GNFD,1.25
2017,Enterprise Operating Fund,0100DWU,Water Utilities DWU,Water Capital Funding,WB,Debt Svc-Interest On Bonds,32700000,0,14367539.21,14367539.21,EFOP,2.52
2017,General Fund,0001ATT,City Attorney's Office GF,General Counsel,PS,Personnel Services,4115157,0,1725322.15,1725322.15,GNFD,5.34
2017,General Fund,0001SEC,City Secretary's Office GF,Records Management,QV,Contractual & Other Services,315837,0,95032.67,95032.67,GNFD,5.5
2017,General Fund,0001IGS,Mgmt Services - Intergovernmental Services,Intergovernmental Services,PS,Personnel Services,764219,0,354292.37,354292.37,GNFD,5.41
2017,General Fund,0001STS,Street Services GF,Department Support,PS,Personnel Services,1713852,0,1022921.35,1022921.35,GNFD,9.99
2017,General Fund,0001OEM,Mgmt Services - Emergency Management,Emergency Management Operations,PS,Personnel Services,599698,0,298899.98,298899.98,GNFD,1.07
2017,General Fund,0001EBS,Building Services GF,"City Facility Operation, Maintenance and Repair",RE,Reimbursements,-1715375,0,-703835.78,-703835.78,GNFD,5.17
2017,General Fund,0001STS,Street Services GF,Street Cut and Right-of-Way Management (Cut Control),RE,Reimbursements,-438541,0,-93658.24,-93658.24,GNFD,2.41
2017,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,GIS Mapping for Private Development,QV,Contractual & Other Services,165805,0,5992.83,5992.83,EFOP,2.2200000000000002
2017,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,Private Development Records and Archival Library,PS,Personnel Services,837105,0,381813.43,381813.43,EFOP,2.33
2017,General Fund,0001CCO,City Controller's Office GF,Cash and Debt Management,QV,Contractual & Other Services,93814,0,29222.06,29222.06,GNFD,5.12
2017,General Fund,0001ADM,Mgmt Services - Admin,311 Customer Service Center,PS,Personnel Services,297479,0,129409.37,129409.37,GNFD,5.01
2017,General Fund,0001STS,Street Services GF,Traffic Safety and Congestion Management,PS,Personnel Services,2799394,0,1372680.74,1372680.74,GNFD,2.48
2016,General Fund,0001AGE,Mgmt Services - Council Agenda,City Agenda Process,QM,Supplies & Materials,1000,0,399.8,399.8,GNFD,5.15
2017,General Fund,0001ECO,Economic Development GF,Area Redevelopment,PS,Personnel Services,694248,0,344381.67,344381.67,GNFD,2.0099999999999998
2017,General Fund,0001OEM,Mgmt Services - Emergency Management,Emergency Management Operations,QM,Supplies & Materials,39417,0,19136.70,19136.70,GNFD,1.07
2016,General Fund,0001ATT,City Attorney's Office GF,Municipal Prosecution,QV,Contractual & Other Services,334163,0,268514.37,268514.37,GNFD,1.19
2016,General Fund,0001DFD,Dallas Fire Rescue GF,Department Support,QV,Contractual & Other Services,121512,0,101911.55,101911.55,GNFD,9.99
2017,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,Private Development Survey,PS,Personnel Services,555270,0,221409.10,221409.10,EFOP,2.34
2017,Internal Service Fund,0196EBS,Equipment Services EBS,City Fleet Paint and Body Shop Coordination,QM,Supplies & Materials,1282,0,1221.48,1221.48,INSV,5.F
2017,General Fund,0001STS,Street Services GF,Land Surveying Services,QM,Supplies & Materials,14560,0,5681.26,5681.26,GNFD,5.43
2017,General Fund,0001DEV,Sustainable Dev and Construction GF,Historic Preservation,PS,Personnel Services,695389,0,324155.25,324155.25,GNFD,2.23
2017,General Fund,0001AGE,Mgmt Services - Council Agenda,City Agenda Process,PS,Personnel Services,200848,0,139610.46,139610.46,GNFD,5.15
2017,Other Operating Fund,0195ORM,Office of Risk Management,Risk Management Services,PS,Personnel Services,2371570,0,1170729.84,1170729.84,OTHO,5.P
